iter	Passed	Remaining
0	2	693
1	3	521
2	4	461
3	5	419
4	7	440
5	9	478
6	11	461
7	11	435
8	13	422
9	14	414
10	15	406
11	16	397
12	17	390
13	18	386
14	20	391
15	22	403
16	23	395
17	24	388
18	26	387
19	27	381
20	28	375
21	29	375
22	32	395
23	34	398
24	36	397
25	37	393
26	38	388
27	42	416
28	44	418
29	46	414
30	47	412
31	48	409
32	50	406
33	52	412
34	55	418
35	56	415
36	58	414
37	59	409
38	60	405
39	62	406
40	64	404
41	65	402
42	66	399
43	68	396
44	69	392
45	70	388
46	72	388
47	73	386
48	76	393
49	78	390
50	79	386
51	80	383
52	82	385
53	84	386
54	86	383
55	87	380
56	88	377
57	89	374
58	91	372
59	93	373
60	95	373
61	96	370
62	97	367
63	98	364
64	100	361
65	101	359
66	103	358
67	105	361
68	107	360
69	108	357
70	110	355
71	111	353
72	114	356
73	116	355
74	117	353
75	119	352
76	120	350
77	122	349
78	125	350
79	126	347
80	128	346
81	129	344
82	130	340
83	131	339
84	133	338
85	135	336
86	136	333
87	137	331
88	138	329
89	140	327
90	142	326
91	145	329
92	147	327
93	148	325
94	149	323
95	151	321
96	152	319
97	154	318
98	156	317
99	158	316
100	159	314
101	160	311
102	162	310
103	163	309
104	165	307
105	166	305
106	168	304
107	170	302
108	172	302
109	175	303
110	177	302
111	178	300
112	180	298
113	182	297
114	184	296
115	187	297
116	189	295
117	190	293
118	192	292
119	200	300
120	201	298
121	204	297
122	205	296
123	208	295
124	209	293
125	210	290
126	211	288
127	213	286
128	214	284
129	219	286
130	220	284
131	222	283
132	223	280
133	225	278
134	226	276
135	233	282
136	236	280
137	237	278
138	238	276
139	240	274
140	243	274
141	244	272
142	246	270
143	247	267
144	248	265
145	249	263
146	253	264
147	255	262
148	256	260
149	258	258
150	260	256
151	261	254
152	262	252
153	264	251
154	266	248
155	267	246
156	268	244
157	270	242
158	271	240
159	272	238
160	273	236
161	275	234
162	276	232
163	277	230
164	279	228
165	280	226
166	282	225
167	289	227
168	291	225
169	292	223
170	293	221
171	294	219
172	296	217
173	298	215
174	299	213
175	300	211
176	301	209
177	302	207
178	303	205
179	305	203
180	306	201
181	307	199
182	308	197
183	310	195
184	311	193
185	313	192
186	314	189
187	315	187
188	316	185
189	317	183
190	319	182
191	321	180
192	322	178
193	323	176
194	324	174
195	326	173
196	327	171
197	328	169
198	330	167
199	332	166
200	333	164
201	334	162
202	335	160
203	337	158
204	338	156
205	339	154
206	341	153
207	343	151
208	344	150
209	345	148
210	346	146
211	347	144
212	348	142
213	350	140
214	352	139
215	353	137
216	354	135
217	355	133
218	357	132
219	358	130
220	359	128
221	361	126
222	362	125
223	363	123
224	364	121
225	366	119
226	367	118
227	368	116
228	370	114
229	372	113
230	372	111
231	374	109
232	375	107
233	376	106
234	377	104
235	378	102
236	381	101
237	382	99
238	383	97
239	385	96
240	386	94
241	387	92
242	388	91
243	390	89
244	391	87
245	393	86
246	394	84
247	396	83
248	397	81
249	398	79
250	399	78
251	401	76
252	402	74
253	403	73
254	406	71
255	407	69
256	408	68
257	410	66
258	411	65
259	412	63
260	413	61
261	415	60
262	417	58
263	418	57
264	420	55
265	421	53
266	422	52
267	423	50
268	425	49
269	427	47
270	429	45
271	430	44
272	431	42
273	432	41
274	433	39
275	435	37
276	436	36
277	437	34
278	438	33
279	439	31
280	440	29
281	441	28
282	443	26
283	444	25
284	445	23
285	446	21
286	447	20
287	448	18
288	449	17
289	450	15
290	452	13
291	453	12
292	454	10
293	456	9
294	457	7
295	458	6
296	459	4
297	461	3
298	462	1
299	463	0
